Date,spi1,spi2,
11-01-1996,0,42,
12-01-1996,0,87,
01-01-1997,0,7,
02-01-1997,-1,26,
03-01-1997,0,51,
04-01-1997,1,48,
05-01-1997,1,37,
06-01-1997,0,29,
07-01-1997,0,1,
08-01-1997,-3,52,
09-01-1997,-1,77,
10-01-1997,0,25,
11-01-1997,0,41,
12-01-1997,0,79,
01-01-1998,0,78,
02-01-1998,0,18,
03-01-1998,1,7,
04-01-1998,0,72,
05-01-1998,0,16,
06-01-1998,0,13,
07-01-1998,0,37,
08-01-1998,0,9,
09-01-1998,0,51,
10-01-1998,0,69,
11-01-1998,0,7,
12-01-1998,0,87,
01-01-1999,0,45,
02-01-1999,-1,12,
03-01-1999,-1,46,
04-01-1999,-1,6,
05-01-1999,0,4,
06-01-1999,0,3,
07-01-1999,0,24,
08-01-1999,0,65,
09-01-1999,1,11,
10-01-1999,0,57,
11-01-1999,0,31,
12-01-1999,0,48,
01-01-2000,0,18,
02-01-2000,0,61,
03-01-2000,0,65,
04-01-2000,0,28,
05-01-2000,1,4,
06-01-2000,1,21,
07-01-2000,0,15,
08-01-2000,0,2,
09-01-2000,0,59,
10-01-2000,-1,69,
11-01-2000,0,42,
12-01-2000,0,87,
01-01-2001,0,92,
02-01-2001,0,84,
03-01-2001,0,47,
04-01-2001,0,98,
05-01-2001,1,34,
06-01-2001,1,46,
07-01-2001,0,45,
08-01-2001,-1,45,
09-01-2001,-1,68,
10-01-2001,0,13,
11-01-2001,0,4,
12-01-2001,0,76,
01-01-2002,0,33,
02-01-2002,1,1,
03-01-2002,0,59,
04-01-2002,0,77,
05-01-2002,0,93,
06-01-2002,0,94,
07-01-2002,-3,9,
08-01-2002,0,11,
09-01-2002,0,8,
10-01-2002,0,3,
11-01-2002,0,17,
12-01-2002,0,72,
01-01-2003,0,42,
02-01-2003,1,18,
03-01-2003,0,49,
04-01-2003,0,17,
05-01-2003,0,32,
06-01-2003,0,18,
07-01-2003,0,76,
08-01-2003,0,27,
09-01-2003,1,67,
10-01-2003,-1,2,
11-01-2003,0,4,
12-01-2003,0,93,
01-01-2004,0,52,
02-01-2004,-1,26,
03-01-2004,-1,46,
04-01-2004,1,53,
05-01-2004,0,94,
06-01-2004,0,11,
07-01-2004,-1,46,
08-01-2004,0,1,
09-01-2004,0,52,
10-01-2004,1,2,
11-01-2004,0,7,
12-01-2004,0,69,
01-01-2005,0,8,
02-01-2005,0,4,
03-01-2005,1,3,
04-01-2005,0,55,
05-01-2005,0,2,
06-01-2005,0,5,
07-01-2005,0,6,
08-01-2005,-1,9,
09-01-2005,0,68,
10-01-2005,0,66,
11-01-2005,0,42,
12-01-2005,0,52,
01-01-2006,-1,51,
02-01-2006,-1,79,
03-01-2006,0,92,
04-01-2006,0,1,
05-01-2006,1,53,
06-01-2006,0,4,
07-01-2006,0,5,
08-01-2006,-2,26,
09-01-2006,0,8,
10-01-2006,0,14,
11-01-2006,0,7,
12-01-2006,0,4,
01-01-2007,-1,56,
02-01-2007,1,81,
03-01-2007,1,6,
04-01-2007,0,67,
05-01-2007,0,21,
06-01-2007,0,44,
07-01-2007,0,99,
08-01-2007,-1,1,
09-01-2007,0,95,
10-01-2007,0,77,
11-01-2007,0,42,
12-01-2007,0,3,
01-01-2008,-1,33,
02-01-2008,-1,54,
03-01-2008,-1,46,
04-01-2008,0,1,
05-01-2008,1,11,
06-01-2008,1,77,
07-01-2008,0,22,
08-01-2008,0,24,
09-01-2008,0,42,
10-01-2008,0,41,
11-01-2008,0,52,
12-01-2008,0,87,
01-01-2009,-1,2,
02-01-2009,0,59,
03-01-2009,0,78,
04-01-2009,0,69,
05-01-2009,0,36,
06-01-2009,-1,46,
07-01-2009,-1,56,
08-01-2009,0,6,
09-01-2009,0,1,
10-01-2009,1,1,
11-01-2009,1,38,
12-01-2009,0,4,
01-01-2010,0,8,
02-01-2010,0,19,
03-01-2010,-1,21,
04-01-2010,0,95,37
05-01-2010,0,6,
06-01-2010,-1,73,
07-01-2010,0,45,
08-01-2010,0,27,
09-01-2010,1,12,
10-01-2010,0,44,
11-01-2010,1,3,
12-01-2010,0,14,
