Date,spi1,spi2,
11-01-1922,0,1,
12-01-1922,1,3,
01-01-1923,0,56,
02-01-1923,1,16,
03-01-1923,-1,14,
04-01-1923,-1,6,
05-01-1923,0,14,
06-01-1923,-2,8,
07-01-1923,0,3,
08-01-1923,0,96,
09-01-1923,0,7,
10-01-1923,0,69,
11-01-1923,0,11,
12-01-1923,1,96,
01-01-1924,0,86,
02-01-1924,0,51,
03-01-1924,0,54,
04-01-1924,-1,14,
05-01-1924,0,11,
06-01-1924,-1,42,
07-01-1924,0,7,
08-01-1924,0,16,
09-01-1924,1,66,
10-01-1924,0,73,
11-01-1924,0,15,
12-01-1924,1,44,
01-01-1925,0,65,
02-01-1925,-1,54,
03-01-1925,-1,3,
04-01-1925,0,32,
05-01-1925,0,34,
06-01-1925,1,9,
07-01-1925,1,47,
08-01-1925,0,14,
09-01-1925,0,92,
10-01-1925,0,39,
11-01-1925,1,73,
12-01-1925,0,87,
01-01-1926,0,11,
02-01-1926,0,17,
03-01-1926,2,8,
04-01-1926,1,18,
05-01-1926,1,11,
06-01-1926,-1,52,
07-01-1926,0,46,
08-01-1926,0,65,
09-01-1926,0,4,
10-01-1926,0,3,
11-01-1926,0,8,
12-01-1926,0,59,
01-01-1927,-1,92,
02-01-1927,0,62,
03-01-1927,0,87,
04-01-1927,0,17,
05-01-1927,0,79,
06-01-1927,0,17,
07-01-1927,0,17,
08-01-1927,0,68,
09-01-1927,0,78,
10-01-1927,1,54,
11-01-1927,2,69,
12-01-1927,0,92,
01-01-1928,0,84,
02-01-1928,2,24,
03-01-1928,0,61,
04-01-1928,0,59,
05-01-1928,0,1,
06-01-1928,0,19,
07-01-1928,0,26,
08-01-1928,-2,12,
09-01-1928,-1,47,
10-01-1928,0,75,
11-01-1928,0,98,
12-01-1928,1,23,
01-01-1929,0,76,
02-01-1929,0,8,
03-01-1929,0,61,
04-01-1929,0,35,
05-01-1929,-1,21,
06-01-1929,0,34,
07-01-1929,0,29,
08-01-1929,0,6,
09-01-1929,-1,5,
10-01-1929,0,19,
11-01-1929,0,4,
12-01-1929,1,81,
01-01-1930,0,65,
02-01-1930,0,42,
03-01-1930,0,99,
04-01-1930,0,16,
05-01-1930,0,56,
06-01-1930,0,1,
07-01-1930,1,21,
08-01-1930,0,21,
09-01-1930,-1,8,
10-01-1930,0,51,
11-01-1930,0,25,
12-01-1930,0,12,
01-01-1931,-1,51,
02-01-1931,0,73,
03-01-1931,0,1,
04-01-1931,0,95,
05-01-1931,0,27,
06-01-1931,-1,51,
07-01-1931,0,21,
08-01-1931,0,16,
09-01-1931,1,63,
10-01-1931,1,32,
11-01-1931,0,25,
12-01-1931,0,69,
01-01-1932,-1,92,
02-01-1932,0,55,
03-01-1932,0,53,
04-01-1932,0,14,
05-01-1932,0,82,
06-01-1932,-1,12,
07-01-1932,0,72,
08-01-1932,0,67,
09-01-1932,1,27,
10-01-1932,-1,37,
11-01-1932,0,98,
12-01-1932,0,52,
01-01-1933,0,49,
02-01-1933,0,24,
03-01-1933,0,2,
04-01-1933,1,5,
05-01-1933,1,5,
06-01-1933,2,19,
07-01-1933,0,35,
08-01-1933,0,17,
09-01-1933,0,66,
10-01-1933,1,35,
11-01-1933,0,1,
12-01-1933,0,3,
01-01-1934,0,82,
02-01-1934,0,94,
03-01-1934,1,25,
04-01-1934,0,63,
05-01-1934,-1,46,
06-01-1934,0,92,
07-01-1934,0,21,
08-01-1934,0,9,
09-01-1934,0,18,
10-01-1934,0,93,
11-01-1934,0,4,
12-01-1934,0,77,
01-01-1935,0,84,
02-01-1935,0,58,
03-01-1935,0,43,
04-01-1935,1,27,
05-01-1935,-2,37,
06-01-1935,-1,47,
07-01-1935,0,81,
08-01-1935,0,77,
09-01-1935,0,46,
10-01-1935,0,69,
11-01-1935,0,37,
12-01-1935,1,58,
01-01-1936,0,75,
02-01-1936,0,35,
03-01-1936,0,46,
04-01-1936,0,18,
05-01-1936,0,69,
06-01-1936,2,63,
07-01-1936,1,8,
08-01-1936,0,41,
09-01-1936,0,62,
10-01-1936,0,82,
11-01-1936,1,31,
12-01-1936,1,67,
01-01-1937,-1,63,
02-01-1937,1,76,
03-01-1937,0,63,
04-01-1937,0,94,
05-01-1937,0,17,
06-01-1937,0,3,
07-01-1937,0,27,
08-01-1937,0,85,
09-01-1937,0,5,
10-01-1937,0,7,
11-01-1937,0,1,
12-01-1937,0,74,
01-01-1938,1,2,
02-01-1938,0,37,
03-01-1938,-1,3,
04-01-1938,0,58,
05-01-1938,0,8,
06-01-1938,1,39,
07-01-1938,0,37,
08-01-1938,0,63,
09-01-1938,-1,25,
10-01-1938,0,2,
11-01-1938,0,13,
12-01-1938,0,87,
01-01-1939,0,25,
02-01-1939,0,54,
03-01-1939,0,1,
04-01-1939,0,82,
05-01-1939,0,82,
06-01-1939,1,5,
07-01-1939,0,1,
08-01-1939,-1,8,
09-01-1939,0,75,
10-01-1939,0,58,
11-01-1939,0,42,
12-01-1939,0,87,
01-01-1940,0,54,
02-01-1940,1,15,
03-01-1940,0,87,
04-01-1940,0,36,
05-01-1940,0,35,
06-01-1940,0,58,
07-01-1940,0,4,
08-01-1940,0,94,
09-01-1940,-1,1,
10-01-1940,0,82,
11-01-1940,0,25,
12-01-1940,1,6,
01-01-1941,1,9,
02-01-1941,0,16,
03-01-1941,0,68,
04-01-1941,-1,6,
05-01-1941,0,59,
06-01-1941,0,42,
07-01-1941,-2,92,
08-01-1941,0,19,
09-01-1941,0,53,
10-01-1941,0,47,
11-01-1941,0,42,
12-01-1941,0,18,
01-01-1942,1,1,
02-01-1942,1,53,
03-01-1942,0,75,
04-01-1942,0,37,
05-01-1942,0,39,
06-01-1942,0,59,
07-01-1942,1,15,
08-01-1942,0,71,
09-01-1942,0,62,
10-01-1942,-1,69,
11-01-1942,0,42,
12-01-1942,0,94,
01-01-1943,0,74,
02-01-1943,-1,35,
03-01-1943,0,43,
04-01-1943,1,13,
05-01-1943,0,23,
06-01-1943,0,21,
07-01-1943,0,57,
08-01-1943,1,18,
09-01-1943,0,23,
10-01-1943,0,46,
